10,59.0,0,4,5,6,21,24,14,0,0.09230769230769231,0.3230769230769231,0.36923076923076925,0.2153846153846154,0.0,0.10169491525423732,0.35593220338983056,0.40677966101694923,0.2372881355932204,0.0,6.000000000000002,21.000000000000004,24.000000000000004,14.000000000000004,0.0,0,0,1,0,0,0,1,3,0,4
3,59.0,3,0,7,0,0,0,32,5,0.0,0.0,0.0,0.8648648648648649,0.13513513513513514,0.0,0.0,0.0,0.5423728813559323,0.08474576271186442,0.0,0.0,0.0,32.00000000000001,5.000000000000001,1,0,0,0,0,0,0,0,0,4
3,59.0,2,0,5,3,8,25,6,2,0.06818181818181818,0.18181818181818182,0.5681818181818182,0.13636363636363635,0.045454545454545456,0.05084745762711866,0.1355932203389831,0.42372881355932207,0.10169491525423731,0.03389830508474577,3.000000000000001,8.000000000000004,25.000000000000004,6.000000000000001,2.0000000000000004,0,0,0,0,0,0,0,0,0,3
5,59.0,3,0,11,7,20,14,0,4,0.15555555555555556,0.4444444444444444,0.3111111111111111,0.0,0.08888888888888889,0.1186440677966102,0.33898305084745767,0.23728813559322046,0.0,0.06779661016949155,7.000000000000002,20.000000000000004,14.000000000000007,0.0,4.000000000000002,1,0,0,0,0,0,0,0,1,7
4,53.0,4,0,7,9,14,4,0,8,0.2571428571428571,0.4,0.11428571428571428,0.0,0.22857142857142856,0.16981132075471703,0.26415094339622647,0.07547169811320759,0.0,0.15094339622641512,9.000000000000002,14.000000000000004,4.000000000000002,0.0,8.000000000000002,1,0,1,0,0,0,0,0,0,5
7,53.0,0,3,3,1,17,4,19,0,0.024390243902439025,0.4146341463414634,0.0975609756097561,0.4634146341463415,0.0,0.01886792452830189,0.32075471698113206,0.07547169811320756,0.35849056603773594,0.0,1.0000000000000002,17.0,4.000000000000001,19.000000000000004,0.0,0,0,0,0,0,0,0,0,0,2
10,53.0,0,4,7,9,21,12,0,18,0.15,0.35,0.2,0.0,0.3,0.16981132075471703,0.39622641509433953,0.22641509433962262,0.0,0.3396226415094341,9.000000000000002,20.999999999999996,11.999999999999998,0.0,18.000000000000007,1,0,0,0,0,0,0,0,1,6
5,53.0,3,1,4,0,0,10,9,32,0.0,0.0,0.19607843137254902,0.17647058823529413,0.6274509803921569,0.0,0.0,0.1886792452830189,0.16981132075471703,0.6037735849056601,0.0,0.0,10.000000000000002,9.000000000000002,31.999999999999986,0,0,0,0,1,0,0,0,0,2
10,71.0,2,4,9,78,0,0,0,7,0.9176470588235294,0.0,0.0,0.0,0.08235294117647059,1.0985915492957747,0.0,0.0,0.0,0.09859154929577467,78.0,0.0,0.0,0.0,7.000000000000002,0,1,1,0,1,0,0,0,0,7
3,71.0,2,0,4,0,23,4,6,8,0.0,0.5609756097560976,0.0975609756097561,0.14634146341463414,0.1951219512195122,0.0,0.32394366197183105,0.0563380281690141,0.08450704225352115,0.1126760563380282,0.0,23.000000000000004,4.000000000000001,6.000000000000002,8.000000000000002,0,0,0,0,0,0,0,2,0,3
2,71.0,2,0,8,0,0,9,40,11,0.0,0.0,0.15,0.6666666666666666,0.18333333333333332,0.0,0.0,0.12676056338028172,0.563380281690141,0.15492957746478878,0.0,0.0,9.000000000000002,40.00000000000001,11.000000000000004,0,0,0,0,0,0,0,0,0,8
6,71.0,4,0,11,4,5,21,0,20,0.08,0.1,0.42,0.0,0.4,0.0563380281690141,0.07042253521126762,0.2957746478873241,0.0,0.2816901408450705,4.000000000000001,5.000000000000001,21.00000000000001,0.0,20.000000000000004,0,0,0,1,0,1,0,0,1,9
10,59.0,2,4,8,2,4,25,13,38,0.024390243902439025,0.04878048780487805,0.3048780487804878,0.15853658536585366,0.4634146341463415,0.03389830508474577,0.06779661016949154,0.423728813559322,0.2203389830508475,0.6440677966101694,2.0000000000000004,4.000000000000001,25.0,13.000000000000004,38.0,0,0,0,1,0,1,0,0,0,4
7,59.0,3,1,8,6,16,12,9,9,0.11538461538461539,0.3076923076923077,0.23076923076923078,0.17307692307692307,0.17307692307692307,0.10169491525423735,0.2711864406779661,0.20338983050847462,0.152542372881356,0.15254237288135597,6.0000000000000036,16.0,12.000000000000002,9.000000000000004,9.000000000000002,1,0,0,0,0,0,0,0,1,7
